,,,,,,,,,,,,,,,,,total unique,total analysed,total missing,total added,total missing and added,net total missing
,,,,,,,,,,,,,,,,,547,100,50,4,4,46
name xname,1,customer rating 3 out of 5,1,near xnear,1,added,,,,,,,,,,,,,,,,
has _( xname rating _( customer 3 5 )_ located _( and xnear )_ )_,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,num missing,at least one missing,at least one added,both missing and added,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range less than £ 20,1,area riverside,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,family Friendly no,,near xnear,,added,,,,,,,,,,0,0,0,0,
located _( xname xnear )_ new_sent friendly _( it not family has _( and rating _( low customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range £ 20 - 25,1,area riverside,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee serves _( food english range _( price £ _( 20 25 )_ )_ )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating 5 out of 5,1,family Friendly yes,1,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly family rating _( 5 5 customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,2,customer rating 1 out of 5,2,area riverside,2,family Friendly yes,1,added,3,,,4,1,1,1,
shop _( xname friendly family coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range £ 20 - 25,1,customer rating high,1,area riverside,1,near xnear,1,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating average,1,area riverside,1,family Friendly yes,1,near xnear,1,added,,,,,,,,0,0,0,0,
has _( xname rating _( average customer )_ friendly _( and family )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,customer rating 3 out of 5,2,area city centre,1,family Friendly no,2,near xnear,1,added,,2,1,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 3 out of 5,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent xnear it new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range moderate,1,customer rating 1 out of 5,1,area city centre,1,added,,,,,,0,0,0,0,
